batch_id,family,severity,option,experiment_count,policy_should_replan_count,replanning_request_count,replanning_success_count,replanning_applied_count,mean_delta_objective,mean_delta_makespan,mean_delta_travel,mean_delta_service,mean_delta_lateness,trigger_behavior_class,warning_count,warnings,result_path
campaign_service_delay_only_severe_batch,service_delay_only,severe,threshold_without_solver,3,3,3,0,0,0.0,0.0,0.0,63.0,0.0,triggered,0,,data\results\campaign_batches\campaign_service_delay_only_severe_batch_result.json
campaign_travel_delay_only_light_batch,travel_delay_only,light,no_replanning_baseline,3,0,0,0,0,0.0,0.0,10.0,0.0,0.0,baseline_policy,0,,data\results\campaign_batches\campaign_travel_delay_only_light_batch_result.json
campaign_travel_delay_only_light_batch,travel_delay_only,light,threshold_with_greedy_replanning,3,0,0,0,0,0.0,0.0,10.0,0.0,0.0,no_trigger,0,,data\results\campaign_batches\campaign_travel_delay_only_light_batch_result.json
campaign_travel_delay_only_light_batch,travel_delay_only,light,threshold_without_solver,3,0,0,0,0,0.0,0.0,10.0,0.0,0.0,no_trigger,0,,data\results\campaign_batches\campaign_travel_delay_only_light_batch_result.json
campaign_travel_delay_only_moderate_batch,travel_delay_only,moderate,no_replanning_baseline,3,0,0,0,0,15.0,15.0,50.0,0.0,0.0,baseline_policy,0,,data\results\campaign_batches\campaign_travel_delay_only_moderate_batch_result.json
campaign_travel_delay_only_moderate_batch,travel_delay_only,moderate,threshold_with_greedy_replanning,3,3,3,3,3,-52.0,3.0,-17.0,0.0,0.0,travel_delay_not_triggering_threshold,1,Travel-related moderate/severe delay did not trigger replanning.,data\results\campaign_batches\campaign_travel_delay_only_moderate_batch_result.json
campaign_travel_delay_only_moderate_batch,travel_delay_only,moderate,threshold_without_solver,3,3,3,0,0,15.0,15.0,50.0,0.0,0.0,travel_delay_triggers_threshold,0,,data\results\campaign_batches\campaign_travel_delay_only_moderate_batch_result.json
campaign_travel_delay_only_severe_batch,travel_delay_only,severe,no_replanning_baseline,3,0,0,0,0,55.0,55.0,90.0,0.0,0.0,baseline_policy,0,,data\results\campaign_batches\campaign_travel_delay_only_severe_batch_result.json
campaign_travel_delay_only_severe_batch,travel_delay_only,severe,threshold_with_greedy_replanning,3,3,3,3,3,-52.0,3.0,-17.0,0.0,0.0,travel_delay_not_triggering_threshold,1,Travel-related moderate/severe delay did not trigger replanning.,data\results\campaign_batches\campaign_travel_delay_only_severe_batch_result.json
campaign_travel_delay_only_severe_batch,travel_delay_only,severe,threshold_without_solver,3,3,3,0,0,55.0,55.0,90.0,0.0,0.0,travel_delay_triggers_threshold,0,,data\results\campaign_batches\campaign_travel_delay_only_severe_batch_result.json
