batch_id,scenario_family_id,severity_id,ranking_profile_count,sensitive_to_ranking_profile,sensitivity_reason,unique_recommended_policy_count,unique_recommendation_class_count,recommended_policies,recommendation_classes,stability_class,investigation_status,interpretation,recommended_profile_policy_pairs,scenario_id
campaign_service_delay_only_moderate_batch,service_delay_only,moderate,4,True,same_policy_but_recommendation_class_changes_across_profiles,1,2,no_replanning_policy_v1,keep_plan_candidate; weak_or_tied,same_policy_different_class,requires_recommendation_class_explanation,"The recommended policy remains the same, but the recommendation class changes under different ranking profiles. This means the policy choice looks stable, but the strength or quality of the recommendation is fragile.",balanced_operational=no_replanning_policy_v1+replanning_not_implemented_v1; conservative_replanning=no_replanning_policy_v1+replanning_not_implemented_v1; makespan_priority=no_replanning_policy_v1+replanning_not_implemented_v1; objective_only=no_replanning_policy_v1+replanning_not_implemented_v1,family_id_service_delay_only_description_only_service_time_is_perturbed_uses_travel_delay_false_uses_service_delay_true_creates_reassignment_opportunity_false_severity_id_moderate_nominal_delay_minutes_50_description_medium_disruption_useful_to_test_trade_offs_between_keeping_the_plan_and_replanning
campaign_service_delay_only_severe_batch,service_delay_only,severe,4,True,same_policy_but_recommendation_class_changes_across_profiles,1,2,no_replanning_policy_v1,keep_plan_candidate; weak_or_tied,same_policy_different_class,requires_recommendation_class_explanation,"The recommended policy remains the same, but the recommendation class changes under different ranking profiles. This means the policy choice looks stable, but the strength or quality of the recommendation is fragile.",balanced_operational=no_replanning_policy_v1+replanning_not_implemented_v1; conservative_replanning=no_replanning_policy_v1+replanning_not_implemented_v1; makespan_priority=no_replanning_policy_v1+replanning_not_implemented_v1; objective_only=no_replanning_policy_v1+replanning_not_implemented_v1,family_id_service_delay_only_description_only_service_time_is_perturbed_uses_travel_delay_false_uses_service_delay_true_creates_reassignment_opportunity_false_severity_id_severe_nominal_delay_minutes_90_description_large_disruption_useful_to_test_robustness_risk_and_operational_recovery
